scan_id,family,split,critical_count,high_count,medium_count,low_count,provenance_failures,workflow_exposures,vulnerable_components,blast_ratio,compromised
SYN-0001,trusted_release,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14831,0
SYN-0002,dependency_takeover,train,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.41398,0
SYN-0003,workflow_compromise,train,0.0,3.0,4.0,0.0,0.0,6.0,1.0,0.68566,1
SYN-0004,tampered_provenance,train,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.55111,1
SYN-0005,noisy_review,test,0.0,1.0,3.0,4.0,1.0,0.0,2.0,0.35268,1
SYN-0006,trusted_release,train,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.1237,0
SYN-0007,dependency_takeover,train,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.98892,1
SYN-0008,workflow_compromise,train,1.0,4.0,2.0,1.0,0.0,5.0,0.0,0.60211,1
SYN-0009,tampered_provenance,test,1.0,4.0,2.0,0.0,3.0,2.0,0.0,0.76707,1
SYN-0010,noisy_review,train,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.55199,0
SYN-0011,trusted_release,train,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.01324,0
SYN-0012,dependency_takeover,train,0.0,3.0,3.0,1.0,0.0,1.0,2.0,0.44866,1
SYN-0013,workflow_compromise,test,1.0,5.0,4.0,1.0,0.0,4.0,0.0,0.50572,1
SYN-0014,tampered_provenance,train,1.0,4.0,0.0,0.0,4.0,2.0,0.0,0.69238,1
SYN-0015,noisy_review,train,0.0,1.0,5.0,2.0,0.0,0.0,2.0,0.58663,0
SYN-0016,trusted_release,train,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.03163,0
SYN-0017,dependency_takeover,test,1.0,3.0,1.0,2.0,0.0,0.0,3.0,0.88125,1
SYN-0018,workflow_compromise,train,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.75746,0
SYN-0019,tampered_provenance,train,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.54283,1
SYN-0020,noisy_review,train,0.0,0.0,2.0,3.0,0.0,2.0,2.0,0.57984,0
SYN-0021,trusted_release,test,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.15105,0
SYN-0022,dependency_takeover,train,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.29802,1
SYN-0023,workflow_compromise,train,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.24044,0
SYN-0024,tampered_provenance,train,1.0,3.0,2.0,0.0,4.0,0.0,0.0,0.86168,1
SYN-0025,noisy_review,test,0.0,2.0,4.0,1.0,1.0,3.0,0.0,0.15188,1
SYN-0026,trusted_release,train,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.13069,0
SYN-0027,dependency_takeover,train,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.39266,0
SYN-0028,workflow_compromise,train,0.0,2.0,4.0,2.0,0.0,3.0,0.0,0.59129,0
SYN-0029,tampered_provenance,test,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.74282,1
SYN-0030,noisy_review,train,0.0,1.0,1.0,3.0,1.0,3.0,1.0,0.33265,0
SYN-0031,trusted_release,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03798,0
SYN-0032,dependency_takeover,train,0.0,3.0,2.0,0.0,0.0,0.0,4.0,0.62714,0
SYN-0033,workflow_compromise,test,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.60513,0
SYN-0034,tampered_provenance,train,1.0,2.0,2.0,0.0,3.0,2.0,0.0,0.70961,1
SYN-0035,noisy_review,train,0.0,2.0,3.0,2.0,0.0,2.0,0.0,0.24609,0
SYN-0036,trusted_release,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09166,0
SYN-0037,dependency_takeover,test,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.94994,1
SYN-0038,workflow_compromise,train,0.0,5.0,3.0,2.0,0.0,7.0,0.0,0.60072,1
SYN-0039,tampered_provenance,train,1.0,4.0,0.0,0.0,3.0,1.0,0.0,0.94486,1
SYN-0040,noisy_review,train,0.0,0.0,3.0,1.0,1.0,3.0,1.0,0.59794,0
SYN-0041,trusted_release,test,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.08472,0
SYN-0042,dependency_takeover,train,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.33391,0
SYN-0043,workflow_compromise,train,0.0,2.0,3.0,2.0,0.0,7.0,0.0,0.45787,0
SYN-0044,tampered_provenance,train,1.0,2.0,1.0,0.0,3.0,2.0,0.0,0.83347,1
SYN-0045,noisy_review,test,0.0,2.0,4.0,4.0,0.0,1.0,0.0,0.63691,1
SYN-0046,trusted_release,train,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.16045,0
SYN-0047,dependency_takeover,train,0.0,2.0,1.0,2.0,0.0,0.0,4.0,0.90413,0
SYN-0048,workflow_compromise,train,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.59602,1
SYN-0049,tampered_provenance,test,1.0,3.0,0.0,0.0,4.0,1.0,1.0,0.83976,1
SYN-0050,noisy_review,train,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.42811,0
SYN-0051,trusted_release,train,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.12124,0
SYN-0052,dependency_takeover,train,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.57347,0
SYN-0053,workflow_compromise,test,1.0,4.0,1.0,2.0,0.0,5.0,1.0,0.60014,1
SYN-0054,tampered_provenance,train,1.0,2.0,1.0,0.0,4.0,2.0,0.0,0.80776,1
SYN-0055,noisy_review,train,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.53217,0
SYN-0056,trusted_release,train,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.09464,0
SYN-0057,dependency_takeover,test,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.86382,1
SYN-0058,workflow_compromise,train,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.56676,0
SYN-0059,tampered_provenance,train,1.0,3.0,1.0,0.0,3.0,2.0,1.0,0.74719,1
SYN-0060,noisy_review,train,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.40657,0
SYN-0061,trusted_release,test,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02667,0
SYN-0062,dependency_takeover,train,1.0,2.0,3.0,2.0,0.0,1.0,2.0,0.80774,1
SYN-0063,workflow_compromise,train,1.0,3.0,3.0,2.0,0.0,6.0,0.0,0.36476,1
SYN-0064,tampered_provenance,train,1.0,3.0,2.0,0.0,3.0,0.0,0.0,0.61563,1
SYN-0065,noisy_review,test,0.0,2.0,2.0,0.0,1.0,3.0,1.0,0.39844,1
SYN-0066,trusted_release,train,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.07608,1
SYN-0067,dependency_takeover,train,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.41457,1
SYN-0068,workflow_compromise,train,1.0,3.0,4.0,0.0,0.0,7.0,0.0,0.74416,1
SYN-0069,tampered_provenance,test,1.0,4.0,0.0,0.0,3.0,2.0,1.0,0.56785,1
SYN-0070,noisy_review,train,0.0,0.0,4.0,2.0,1.0,3.0,1.0,0.51361,0
SYN-0071,trusted_release,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09406,0
SYN-0072,dependency_takeover,train,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.96221,1
SYN-0073,workflow_compromise,test,0.0,3.0,2.0,0.0,0.0,6.0,0.0,0.53838,1
SYN-0074,tampered_provenance,train,1.0,2.0,2.0,0.0,3.0,0.0,1.0,0.55405,1
SYN-0075,noisy_review,train,0.0,1.0,5.0,3.0,1.0,1.0,0.0,0.42565,0
SYN-0076,trusted_release,train,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.12008,0
SYN-0077,dependency_takeover,test,0.0,2.0,3.0,2.0,0.0,1.0,1.0,0.62947,0
SYN-0078,workflow_compromise,train,0.0,5.0,3.0,2.0,0.0,6.0,0.0,0.46129,1
SYN-0079,tampered_provenance,train,1.0,4.0,1.0,0.0,4.0,1.0,1.0,0.91287,1
